stop_code,stop_name,stop_lat,stop_lon
34972,יהושע גיבשטיין/יונה צבי פיינשטיין,31.954357,34.812691
34980,קפלנסקי/שדרות זמסקי,31.957983,34.796933
34982,אנילביץ'/החלוץ,31.986419,34.789584
34998,כצנלסון/י ל פרץ,31.967793,34.791262
35066,יואל דרובין/האחים סמילצנסקי,31.959954,34.799813
35067,עולי הגרדום/החייל האלמוני,31.960943,34.801422
35140,מוטה גור/אלי ויזל,31.968371,34.772481
35224,צומת עין הקורא,31.955524,34.784774
35297,כתריאל רפפורט/חנה ומיכאל לוין,31.967165,34.823857
35298,חנה ומיכאל לוין/ירושלים,31.962108,34.821655
35299,הדייגים/הסירה,31.986288,34.779696
35300,הדייגים/האלתית,31.986166,34.780156
35309,יהודה הלוי/יוחנן הסנדלר,31.967381,34.81429
35318,גולדה מאיר/הסיתוונית,31.976005,34.784778
35323,גולדה מאיר/חי כיף,31.975546,34.785606
35376,רוטשילד/גורדון,31.96426,34.79615
35400,ראשון לציון/רחובות,32.103648,34.876607
35519,מרכז ראשונים/הנחשול,31.983241,34.782299
35528,הנחשול/שדרות משה דיין,31.98024,34.779925
35534,משה דיין/לוי אשכול,31.979243,34.780344
35606,היקב/היוגבים,31.972406,34.778378
35608,היקב/הזמורה,31.972758,34.778467
35698,משה דיין/יצחק בן צבי,31.977782,34.79022
35699,המצלתיים/התזמורת,31.964691,34.77486
35700,המצלתיים/חומה ומגדל,31.964455,34.774902
35701,התזמורת/האורגן,31.966536,34.775557
35702,התזמורת/המפוחית,31.965785,34.775006
35704,התזמורת/החצוצרה,31.966308,34.772998
35705,החצוצרה/מוטה גור,31.965633,34.772201
35706,החצוצרה/התזמורת,31.965604,34.771808
35708,תור הזהב/הרשבא,31.977624,34.774455
35711,תור הזהב/בן סרוק,31.977096,34.774504
35712,גדולי ישראל/חיים בר לב,31.979163,34.765784
35722,מרכז כרמים/הסוכה,31.974331,34.778867
35723,נאות סיני/יצחק רבין,31.978647,34.760844
35744,ת. מרכזית ראשל''צ,31.967621,34.784636
35752,בי''ס מישור הנוף/יהושע גיבשטיין,31.951465,34.810211
35783,יהושע גיבשטיין/אריה ברגר,31.950189,34.809429
35803,מוטה גור/מוריי גלמן,31.967612,34.771625
35804,אצ''ל/אלטלנה,31.990789,34.760756
35805,אצ''ל/יוסף לישנסקי,31.989834,34.763394
35808,חיים בר לב/גדולי ישראל,31.979903,34.765788
35815,יצחק רבין/חיים ברלב,31.976708,34.76227
35863,שדרות היובל/נחלת יהודה,31.979315,34.797832
35873,ברשבסקי/מנחם כהן,31.973081,34.812305
35886,ת. רכבת הראשונים,31.94903,34.803908
35889,יהושע גיבשטיין/יונה צבי פיינשטיין,31.953837,34.811992
35908,הרצל/הרב הרצוג,31.967212,34.803052
35909,עין הקורא/הרצל,31.965847,34.802463
35916,לוי אשכול/תור הזהב,31.974028,34.776001
35919,נווה דקלים/רפידים,31.979649,34.760228
35920,החלוצים/נוב,31.984426,34.760923
35921,החלוצים/נוב,31.98389,34.760386
35922,נווה דקלים/נחל ים,31.979959,34.759476
35932,שמוטקין/ברשבסקי,31.974383,34.810697
35933,צבי פרנק/גבעתי,31.969201,34.816173
35935,חיים בר לב/משה דיין,31.982506,34.767779
35939,התזמורת/העוגב,31.968179,34.77554
35999,חיים בר לב/גדולי ישראל,31.979245,34.76498
36000,נגבה/חומה ומגדל,31.963659,34.776986
36001,מרכז גנים/נגבה,31.963426,34.777918
36002,נגבה/כפר חיטים,31.962787,34.780498
36003,נגבה/חניתה,31.963862,34.780975
36005,שדרות יעקב/ישעיהו הנביא,31.951875,34.819992
36006,מרכז קארדו/השירה העברית,31.97657,34.76984
36007,השירה העברית/המשוררת רחל,31.976,34.769899
36008,מרכז קארדו/השירה העברית,31.977879,34.769379
36009,מורשת ישראל/ריב''ל,31.974789,34.772474
36010,מורשת ישראל/הרב נריה,31.974885,34.773267
36011,גדולי ישראל/שייקה אופיר,31.978742,34.771402
36012,גדולי ישראל/אלקבץ,31.978765,34.771875
36014,חומה ומגדל/אושה,31.965369,34.776932
36015,נגבה/אושה,31.966402,34.778981
36016,חומה ומגדל/יצחק רבין,31.967519,34.777917
36017,חומה ומגדל/ההסתדרות,31.967518,34.778185
36019,נגבה/שדה נחום,31.96609,34.780086
36021,נגבה/דן,31.965174,34.781676
36023,ההסתדרות/גולדה מאיר,31.967223,34.781792
36024,התקומה/ישראל גלילי,31.971263,34.780097
36025,התקומה/היקינטון,31.972205,34.780916
36026,קניון הבאר/תור הזהב,31.974982,34.775439
36027,קניון הבאר/תור הזהב,31.97501,34.775829
36031,התקומה/שומרה,31.974849,34.782181
36032,התקומה/המורן,31.974784,34.78241
36040,רוטשילד/השקד,31.964161,34.796224
36042,גן הזיכרון/התקומה,31.97694,34.783429
36043,שדרות משה דיין/הרב יוסף עזרן,31.978633,34.783711
36044,שדרות משה דיין/התקומה,31.978041,34.785103
36045,שדרות משה דיין/שאול המלך,31.97742,34.788541
36046,שד. משה דיין/שאול המלך,31.977659,34.788426
36048,זבוטינסקי/שפינוזה,31.96788,34.799514
36050,ז'בוטינסקי/שדרות בגין,31.971693,34.798335
36051,משטרת ראשל''צ/ז'בוטינסקי,31.973526,34.797117
36052,משטרת ראשל''צ/ז'בוטינסקי,31.974784,34.79675
36053,ת. רכבת הראשונים,31.949155,34.803799
36055,מסוף אבי האסירים,31.954371,34.803814
36056,זבוטינסקי/האחים סמילצנסקי,31.960348,34.800948
36061,עולי הגרדום/רוטנברג,31.961062,34.801878
36062,היכל התרבות/זבוטינסקי,31.961971,34.800463
36063,היכל התרבות/זבוטינסקי,31.962669,34.800055
36069,מרגולין/צ''ג בנות,31.969224,34.808896
36070,הגדוד העברי/חב''ד,31.969004,34.810124
36071,הגדוד העברי/מרגולין,31.968705,34.810283
36072,שדרות יעקב/האשל,31.959691,34.823926
